Year,Date,Time,Type,Sex,Age,Activity,Location,Country,State,Fatal Y/N,Time_Range,Activity_clean,Activity_grouped
2013,June,12:50:00,Unprovoked,M,28,Swimming,Kona Coast State Park,USA,Hawaii,N,Afternoon,swimming,Swimming
2013,June,14:45:00,Unprovoked,M,15,Swimming,Brazoria County,USA,Texas,N,Afternoon,swimming,Swimming
2013,June,,Unprovoked,Y,,Surfing,Duval County,USA,Florida,N,Unknown,surfing,Surfing
2013,June,,Unprovoked,Y,10,Boogie Boarding,Horry County,USA,South Carolina,N,Unknown,boogie boarding,Other
2013,June,,Provoked,M,58,Fishing for sharks,Monroe County,USA,Florida,N,Unknown,fishing for sharks,Fishing
2013,May,,Unprovoked,M,32,Diving,Oahu County,USA,Hawaii,N,Unknown,diving,Diving
2013,May,,Unprovoked,M,11,Swimming,Volusia County,USA,Florida,N,Unknown,swimming,Swimming
2013,May,,Unknown,M,42,Surfing,San Diego County,USA,California,,Unknown,surfing,Surfing
2013,May,11:15:00,Unprovoked,M,16,Surfing,Brevard County,USA,Florida,N,Morning,surfing,Surfing
2013,April,10:30:00,Unprovoked,M,9,Playing in the surf,Palm Beach County,USA,Florida,N,Morning,playing in the surf,Surfing
2013,April,13:30:00,Unprovoked,M,21,Surfing,Volusia County,USA,Florida,N,Afternoon,surfing,Surfing
2013,April,,Unprovoked,M,50,Swimming,Martin County,USA,Florida,N,Unknown,swimming,Swimming
2013,April,08:30:00,Unprovoked,M,58,Surfing,Kaanapali Shores,USA,Hawaii,N,Morning,surfing,Surfing
2013,February,18:00:00,Unprovoked,Y,,Surfing,Maui County,USA,Hawaii,N,Evening,surfing,Surfing
2013,February,18:00:00,Unprovoked,M,,Surfing,Maui County,USA,Hawaii,N,Evening,surfing,Surfing
2013,February,14:00:00,Unprovoked,M,16,Surfing,Martin County,USA,Florida,N,Afternoon,surfing,Surfing
2013,January,16:30:00,Unprovoked,M,43,Surfing,Kiholo Bay,USA,Hawaii,N,Afternoon,surfing,Surfing
2012,December,14:00:00,Unprovoked,M,,Swimming,Martin County,USA,Florida,N,Afternoon,swimming,Swimming
2012,December,13:20:00,Unprovoked,M,60,Surfing,Kauai County,USA,Hawaii,N,Afternoon,surfing,Surfing
2012,November,09:40:00,Unprovoked,M,61,Snorkeling,Maui County,USA,Hawaii,N,Morning,snorkeling,Diving
2012,November,17:30:00,Unprovoked,M,14,Surfing,Brevard County,USA,Florida,N,Evening,surfing,Surfing
2012,November,08:30:00,Unprovoked,M,30,Diving,Maui County,USA,Hawaii,N,Morning,diving,Diving
2012,November,08:10:00,Unprovoked,M,43,Surfing,"Davidson's Surf Break, Kekaha, Kaua'i",USA,Hawaii,N,Morning,surfing,Surfing
2012,October,12:00:00,Unprovoked,M,25,Surfing,Humboldt County,USA,California,N,Afternoon,surfing,Surfing
2012,October,15:56:00,Unprovoked,Y,51,Swimming,Maui County,USA,Hawaii,N,Afternoon,swimming,Swimming
2012,October,11:00:00,Unprovoked,M,39,Surfing,Santa Barbara County,USA,California,Y,Morning,surfing,Surfing
2012,October,,Unprovoked,Y,35,,Brevard County,USA,Florida,N,Unknown,,Unknown
2012,October,10:30:00,Unprovoked,M,24,Surfing,Volusia County,USA,Florida,N,Morning,surfing,Surfing
2012,October,07:30:00,Unprovoked,M,55,Paddle boarding,Maui County,USA,Hawaii,N,Morning,paddle boarding,Paddleboarding
2012,October,17:00:00,Unknown,M,,,Hobe Sound,USA,Florida,,Evening,,Unknown
2012,October,18:30:00,Unprovoked,M,42,Windsurfing,Santa Cruz County,USA,California,N,Evening,windsurfing,Surfing
2012,September,16:30:00,Unprovoked,M,21,Surfing,Brevard County,USA,Florida,N,Afternoon,surfing,Surfing
2012,September,,Unprovoked,M,22,Surfing,Brevard County,USA,Florida,N,Unknown,surfing,Surfing
2012,September,15:00:00,Unprovoked,M,52,Surfing,Brevard County,USA,Florida,N,Afternoon,surfing,Surfing
2012,September,14:20:00,Unprovoked,Y,19,Surfing,Volusia County,USA,Florida,N,Afternoon,surfing,Surfing
2012,September,12:00:00,Unprovoked,M,25,Surfing,Brevard County,USA,Florida,N,Afternoon,surfing,Surfing
2012,September,,Unprovoked,M,,Swimming,Dade County,USA,Florida,N,Unknown,swimming,Swimming
2012,September,,Unprovoked,M,30,Surfing,Duval County,USA,Florida,N,Unknown,surfing,Surfing
2012,September,11:30:00,Unprovoked,M,37,Surfing,s County,USA,Florida,N,Morning,surfing,Surfing
2012,September,07:56:00,Unprovoked,M,32,Surfing,Brevard County,USA,Florida,N,Morning,surfing,Surfing
2012,September,18:30:00,Unprovoked,Y,8,Boogie boarding,Volusia County,USA,Florida,N,Evening,boogie boarding,Other
2012,September,12:00:00,Provoked,Y,,Spearfishing,Maui County,USA,Hawaii,N,Afternoon,spearfishing,Fishing
2012,September,16:30:00,Unprovoked,Y,56,Swimming or boogie boarding,Volusia County,USA,Florida,N,Afternoon,swimming or boogie boarding,Swimming
2012,August,,Unprovoked,M,31,Wading or swimming,Baldwin County,USA,Alabama,N,Unknown,wading or swimming,Swimming
2012,August,16:00:00,Unprovoked,M,56,Free diving ,Key Largo,USA,Florida,N,Afternoon,free diving,Diving
2012,July,06:45:00,Unprovoked,M,17,Surfing,Los Angeles County,USA,California,N,Morning,surfing,Surfing
2012,July,16:35:00,Unprovoked,M,44,Surfing,Kauai County,USA,Hawaii,N,Afternoon,surfing,Surfing
2012,July,15:30:00,Unprovoked,M,50,Body surfing,"Ballston Beach, Truro, Cape Cod",USA,Massachusetts,N,Afternoon,body surfing,Surfing
2012,July,11:45:00,Unknown,M,12,,Brunswick County,USA,North Carolina,,Morning,,Unknown
2012,July,17:30:00,Unprovoked,Y,43,Swimming,Onslow County,USA,North Carolina,N,Evening,swimming,Swimming
2012,July,08:30:00,Unknown,M,52,Kayaking,Santa Cruz County,USA,California,N,Morning,kayaking,Paddleboarding
2012,June,19:00:00,Unprovoked,M,6,Swimming,Palm Beach County,USA,Florida,N,Evening,swimming,Swimming
2012,June,15:00:00,Unprovoked,M,26,Surfing,Volusia County,USA,Florida,N,Afternoon,surfing,Surfing
2012,June,09:45:00,Unprovoked,Y,16,Sitting in the water,Maui County,USA,Hawaii,N,Morning,sitting in the water,Other
2012,June,16:30:00,Unprovoked,M,12,Swimming,Martin County,USA,Florida,N,Afternoon,swimming,Swimming
2012,June,,Unknown,M,16,Standing,Horry County,USA,South Carolina,,Unknown,standing,Wading/Standing
